document_id,source_document_id,relative_path,file_type,framework,country,source_type,is_official,status,error,quality_score,file_hash,output_file
cobit_2019_framework_governance_and_management_objectives_res_eng_1118_1,cobit_2019_framework_governance_and_management_objectives_res_eng_1118_1,COBIT\COBIT-2019-Framework-Governance-and-Management-Objectives_res_eng_1118-1.pdf,pdf,cobit,,official_standard,true,success,,1.0,8bbdf564a15a01a90feee58ac4a94307dd08b0ea26def4886d3864d23e6bfa01,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\cobit_2019_framework_governance_and_management_objectives_res_eng_1118_1.json
01_iso_27001_implementation_checklist,01_iso_27001_implementation_checklist,ISO27001\01-ISO-27001-Implementation-Checklist.xlsx,xlsx,iso27001,,implementation_guide,false,success,,0.7088,9af716fc0547f61e2e9fe87ee44d0e78e26ce728ea14bd5f46784fa578b5a97a,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\01_iso_27001_implementation_checklist.json
0b_implemenation_guide,0b_implemenation_guide,ISO27001\0B-IMPLEMENATION-GUIDE.pdf,pdf,iso27001,,implementation_guide,false,success,,0.6125,41d318ea65925a42e3ae51e4590e83653de5124791869e1d1cfdbadda4db4c40,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\0b_implemenation_guide.json
27001_implementation_guide,27001_implementation_guide,ISO27001\27001_implementation_guide.pdf,pdf,iso27001,,implementation_guide,false,success,,0.9958,7db1b08767b5b4241fbc349ae6c20e2f61d512b6fa090a3e4511742d31643248,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\27001_implementation_guide.json
iso_27001_annex_a_controls_list_lm,iso_27001_annex_a_controls_list_lm,ISO27001\ISO 27001 Annex A Controls List LM.pdf,pdf,iso27001,,implementation_guide,false,success,,0.9037,26bbead0ed89637dd1c74f8c2462584f469073a84d5e0c721b8e2279f25be5ae,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\iso_27001_annex_a_controls_list_lm.json
iso_27001_the_comprehensive_checklist_isms_online,iso_27001_the_comprehensive_checklist_isms_online,ISO27001\ISO 27001 The Comprehensive Checklist – ISMS.online.pdf,pdf,iso27001,,implementation_guide,false,success,,0.7153,7a3ea8e5ba92398f5f6012757dcfa2f96c14fa6093de8504af42f9c4f71c54bb,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\iso_27001_the_comprehensive_checklist_isms_online.json
iso1,iso1,ISO27001\iso1.pdf,pdf,iso27001,,standard_supporting_text,false,success,,0.9556,9943f71ad38aae7abc7ac81e9ac752454f50a1eb8a07dba0f541f10146463d70,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\iso1.json
iso2,iso2,ISO27001\iso2.pdf,pdf,iso27001,,standard_supporting_text,false,success,,0.8464,4654015bd09c626ca984a929e554c4135e7a99d29c60ab0ea25c02715c6238c5,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\iso2.json
iso_27001_2022_checklist,iso_27001_2022_checklist,ISO27001\ISO-27001-2022-checklist-.pdf,pdf,iso27001,,implementation_guide,false,success,,0.8413,3a20088797bd3bd09ca9cd36b0ade08765723a1b80bf9a7b00c3c62c391c3cdc,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\iso_27001_2022_checklist.json
iso_27001_controls_list_free_download,iso_27001_controls_list_free_download,ISO27001\ISO-27001-Controls-List-Free-Download.xlsx,xlsx,iso27001,,standard_supporting_text,false,success,,0.9346,4ab42ff2969c745d57ba0c863cd65d46ae3748d7a439f4faa9fd02a2fabdb021,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\iso_27001_controls_list_free_download.json
